================ Training Loss (Sat Dec  3 19:48:15 2022) ================
================ Training Loss (Sat Dec  3 20:18:01 2022) ================
(epoch: 1, iters: 400, time: 0.023, data: 0.147) G_GAN: 2.599 G_L1: 28.913 D_real: 0.259 D_fake: 0.245 
(epoch: 2, iters: 16, time: 0.014, data: 0.004) G_GAN: 3.699 G_L1: 35.242 D_real: 0.064 D_fake: 0.054 
(epoch: 2, iters: 416, time: 0.021, data: 0.003) G_GAN: 3.218 G_L1: 28.409 D_real: 0.061 D_fake: 0.076 
(epoch: 3, iters: 32, time: 0.023, data: 0.003) G_GAN: 1.924 G_L1: 30.885 D_real: 0.363 D_fake: 0.050 
(epoch: 3, iters: 432, time: 0.024, data: 0.002) G_GAN: 3.520 G_L1: 36.868 D_real: 0.028 D_fake: 0.167 
(epoch: 4, iters: 48, time: 0.025, data: 0.004) G_GAN: 1.621 G_L1: 33.956 D_real: 0.574 D_fake: 0.427 
(epoch: 4, iters: 448, time: 0.022, data: 0.002) G_GAN: 4.192 G_L1: 38.117 D_real: 0.018 D_fake: 0.028 
(epoch: 5, iters: 64, time: 0.024, data: 0.003) G_GAN: 3.387 G_L1: 30.654 D_real: 0.219 D_fake: 0.044 
(epoch: 5, iters: 464, time: 0.021, data: 0.006) G_GAN: 1.846 G_L1: 35.759 D_real: 0.083 D_fake: 0.046 
(epoch: 6, iters: 80, time: 0.023, data: 0.003) G_GAN: 4.573 G_L1: 38.149 D_real: 0.013 D_fake: 0.021 
(epoch: 6, iters: 480, time: 0.025, data: 0.002) G_GAN: 3.407 G_L1: 34.450 D_real: 0.030 D_fake: 0.386 
(epoch: 7, iters: 96, time: 0.025, data: 0.004) G_GAN: 3.770 G_L1: 45.076 D_real: 0.006 D_fake: 0.027 
(epoch: 7, iters: 496, time: 0.021, data: 0.002) G_GAN: 2.907 G_L1: 30.203 D_real: 0.068 D_fake: 0.366 
(epoch: 8, iters: 112, time: 0.023, data: 0.004) G_GAN: 3.931 G_L1: 34.796 D_real: 0.252 D_fake: 0.467 
(epoch: 8, iters: 512, time: 0.026, data: 0.003) G_GAN: 0.512 G_L1: 31.848 D_real: 1.519 D_fake: 0.064 
(epoch: 9, iters: 128, time: 0.029, data: 0.003) G_GAN: 4.832 G_L1: 36.258 D_real: 5.174 D_fake: 0.001 
(epoch: 9, iters: 528, time: 0.025, data: 0.004) G_GAN: 4.988 G_L1: 34.551 D_real: 0.029 D_fake: 1.276 
(epoch: 10, iters: 144, time: 0.028, data: 0.005) G_GAN: 3.440 G_L1: 36.469 D_real: 0.006 D_fake: 1.227 
(epoch: 10, iters: 544, time: 0.025, data: 0.003) G_GAN: 5.298 G_L1: 34.523 D_real: 0.610 D_fake: 0.005 
