================ Training Loss (Sat Dec  3 21:31:58 2022) ================
(epoch: 1, iters: 400, time: 0.024, data: 0.182) G_GAN: 1.414 G_L1: 34.614 D_real: 0.448 D_fake: 0.443 
(epoch: 2, iters: 16, time: 0.014, data: 0.003) G_GAN: 1.931 G_L1: 32.497 D_real: 0.270 D_fake: 0.715 
(epoch: 2, iters: 416, time: 0.023, data: 0.004) G_GAN: 2.575 G_L1: 26.785 D_real: 0.206 D_fake: 0.100 
(epoch: 3, iters: 32, time: 0.024, data: 0.003) G_GAN: 3.001 G_L1: 28.902 D_real: 0.057 D_fake: 0.091 
(epoch: 3, iters: 432, time: 0.026, data: 0.003) G_GAN: 3.165 G_L1: 28.777 D_real: 0.114 D_fake: 0.069 
(epoch: 4, iters: 48, time: 0.025, data: 0.003) G_GAN: 3.158 G_L1: 36.104 D_real: 0.092 D_fake: 0.091 
(epoch: 4, iters: 448, time: 0.023, data: 0.004) G_GAN: 3.777 G_L1: 36.527 D_real: 0.046 D_fake: 0.042 
(epoch: 5, iters: 64, time: 0.026, data: 0.003) G_GAN: 3.281 G_L1: 37.490 D_real: 0.046 D_fake: 0.084 
(epoch: 5, iters: 464, time: 0.024, data: 0.004) G_GAN: 3.150 G_L1: 36.343 D_real: 0.049 D_fake: 0.096 
(epoch: 6, iters: 80, time: 0.027, data: 0.003) G_GAN: 2.909 G_L1: 32.869 D_real: 0.138 D_fake: 0.050 
(epoch: 6, iters: 480, time: 0.023, data: 0.003) G_GAN: 2.606 G_L1: 33.586 D_real: 0.672 D_fake: 1.136 
(epoch: 7, iters: 96, time: 0.029, data: 0.003) G_GAN: 3.258 G_L1: 31.130 D_real: 0.031 D_fake: 0.318 
(epoch: 7, iters: 496, time: 0.026, data: 0.003) G_GAN: 3.842 G_L1: 26.993 D_real: 0.164 D_fake: 0.047 
(epoch: 8, iters: 112, time: 0.026, data: 0.003) G_GAN: 0.591 G_L1: 31.064 D_real: 0.788 D_fake: 0.106 
(epoch: 8, iters: 512, time: 0.026, data: 0.002) G_GAN: 3.536 G_L1: 32.194 D_real: 0.054 D_fake: 0.092 
(epoch: 9, iters: 128, time: 0.027, data: 0.003) G_GAN: 2.503 G_L1: 29.713 D_real: 0.275 D_fake: 0.097 
(epoch: 9, iters: 528, time: 0.024, data: 0.002) G_GAN: 0.405 G_L1: 35.177 D_real: 1.029 D_fake: 0.016 
(epoch: 10, iters: 144, time: 0.031, data: 0.003) G_GAN: 3.582 G_L1: 34.719 D_real: 0.022 D_fake: 0.730 
(epoch: 10, iters: 544, time: 0.024, data: 0.002) G_GAN: 2.610 G_L1: 33.785 D_real: 0.015 D_fake: 1.658 
(epoch: 11, iters: 160, time: 0.027, data: 0.003) G_GAN: 0.192 G_L1: 27.323 D_real: 1.220 D_fake: 0.067 
(epoch: 11, iters: 560, time: 0.027, data: 0.003) G_GAN: 2.818 G_L1: 34.528 D_real: 0.057 D_fake: 1.034 
(epoch: 12, iters: 176, time: 0.026, data: 0.003) G_GAN: 1.726 G_L1: 40.536 D_real: 0.828 D_fake: 0.153 
(epoch: 12, iters: 576, time: 0.024, data: 0.003) G_GAN: 1.866 G_L1: 35.127 D_real: 0.294 D_fake: 0.070 
(epoch: 13, iters: 192, time: 0.027, data: 0.003) G_GAN: 2.146 G_L1: 34.762 D_real: 0.182 D_fake: 0.212 
(epoch: 13, iters: 592, time: 0.027, data: 0.003) G_GAN: 3.326 G_L1: 36.179 D_real: 0.019 D_fake: 0.612 
(epoch: 14, iters: 208, time: 0.026, data: 0.003) G_GAN: 2.645 G_L1: 26.672 D_real: 0.024 D_fake: 1.944 
(epoch: 14, iters: 608, time: 0.024, data: 0.003) G_GAN: 3.289 G_L1: 35.958 D_real: 0.033 D_fake: 0.077 
(epoch: 15, iters: 224, time: 0.026, data: 0.003) G_GAN: 2.467 G_L1: 40.232 D_real: 0.031 D_fake: 0.734 
(epoch: 15, iters: 624, time: 0.024, data: 0.004) G_GAN: 3.582 G_L1: 35.559 D_real: 0.017 D_fake: 0.258 
(epoch: 16, iters: 240, time: 0.026, data: 0.003) G_GAN: 4.424 G_L1: 32.938 D_real: 0.029 D_fake: 0.683 
(epoch: 16, iters: 640, time: 0.024, data: 0.002) G_GAN: 0.888 G_L1: 32.800 D_real: 0.647 D_fake: 0.024 
(epoch: 17, iters: 256, time: 0.026, data: 0.003) G_GAN: 1.537 G_L1: 33.312 D_real: 0.597 D_fake: 0.058 
(epoch: 17, iters: 656, time: 0.024, data: 0.003) G_GAN: 1.513 G_L1: 35.307 D_real: 0.184 D_fake: 1.262 
(epoch: 18, iters: 272, time: 0.026, data: 0.003) G_GAN: 2.412 G_L1: 31.924 D_real: 0.199 D_fake: 0.137 
(epoch: 18, iters: 672, time: 0.026, data: 0.003) G_GAN: 3.081 G_L1: 35.368 D_real: 0.053 D_fake: 0.141 
(epoch: 19, iters: 288, time: 0.026, data: 0.002) G_GAN: 2.232 G_L1: 37.471 D_real: 0.397 D_fake: 0.097 
(epoch: 19, iters: 688, time: 0.024, data: 0.003) G_GAN: 2.908 G_L1: 38.549 D_real: 0.130 D_fake: 0.084 
(epoch: 20, iters: 304, time: 0.028, data: 0.003) G_GAN: 0.150 G_L1: 35.040 D_real: 1.386 D_fake: 0.078 
(epoch: 20, iters: 704, time: 0.025, data: 0.003) G_GAN: 2.404 G_L1: 40.416 D_real: 0.054 D_fake: 1.550 
(epoch: 21, iters: 320, time: 0.027, data: 0.003) G_GAN: 3.471 G_L1: 36.734 D_real: 0.174 D_fake: 0.095 
(epoch: 21, iters: 720, time: 0.026, data: 0.003) G_GAN: 1.866 G_L1: 34.828 D_real: 0.268 D_fake: 0.171 
(epoch: 22, iters: 336, time: 0.030, data: 0.004) G_GAN: 2.142 G_L1: 37.664 D_real: 0.017 D_fake: 1.043 
(epoch: 22, iters: 736, time: 0.024, data: 0.003) G_GAN: 1.711 G_L1: 34.618 D_real: 0.298 D_fake: 0.115 
(epoch: 23, iters: 352, time: 0.026, data: 0.004) G_GAN: 2.342 G_L1: 39.332 D_real: 0.252 D_fake: 0.208 
(epoch: 23, iters: 752, time: 0.027, data: 0.004) G_GAN: 0.761 G_L1: 35.277 D_real: 1.178 D_fake: 0.050 
(epoch: 24, iters: 368, time: 0.031, data: 0.004) G_GAN: 1.544 G_L1: 33.172 D_real: 0.997 D_fake: 0.091 
(epoch: 24, iters: 768, time: 0.024, data: 0.003) G_GAN: 1.204 G_L1: 33.553 D_real: 0.187 D_fake: 0.652 
(epoch: 25, iters: 384, time: 0.027, data: 0.004) G_GAN: 2.776 G_L1: 31.283 D_real: 0.098 D_fake: 1.205 
(epoch: 25, iters: 784, time: 0.022, data: 0.004) G_GAN: 1.356 G_L1: 32.710 D_real: 0.565 D_fake: 0.116 
(epoch: 26, iters: 400, time: 0.026, data: 0.251) G_GAN: 2.265 G_L1: 33.448 D_real: 0.314 D_fake: 0.497 
